Year,Unemployment,GDP
2000,7.86,3.840991157
2001,8.04,4.823966266
2002,8.25,3.803975321
2003,8.4,7.860381476
2004,8.55,7.922936612
2005,8.7,7.923430621
2006,8.61,8.060732572
2007,8.53,7.660815067
2008,8.49,3.086698059
2009,8.41,7.861888833
2010,8.32,8.497584702
2011,8.22,5.241316199
2012,8.16,5.456387552
2013,8.09,6.386106401
2014,7.99,7.410227605
2015,7.89,7.996253786
2016,7.8,8.256305502
2017,7.72,6.795383419
2018,7.65,6.453851345
2019,6.51,3.871436941
2020,7.86,-5.777724707
2021,6.38,9.689592492
2022,4.82,7.609364978
2023,4.17,9.19075493
2024,4.173,6.494765524
